Source,"Product 
Type",TableName,Source System FIeld Name,IMPACTED FIELD FOR RULE CODE (for DQ team reference),New_Rule_Code_Format,Data Field,Rule Description,Logic,main_table,main_column,sub_table,sub_column,dependency_table,dependency_column,rule_logic_desc
POR,_,"tblCustomers
","tblCustomers.fldEntityType
tblCustomers.fldContactNum1
tblCustomers.fldContactNum2
tblCustomers.fldContactNum3
tblCustomers.fldContactNum4
tblCustomers.fldContactNum5
tblCustomers.fldFaxNum1
tblCustomers.fldFaxNum2
","Entity Type
All Phone Number",Telephone_Number_Rule_1_POR,Phone Number,At least 1 phone Num field should be populated,,"tblCustomers
","tblCustomers.fldContactNum1,tblCustomers.fldContactNum2,tblCustomers.fldContactNum3,tblCustomers.fldContactNum4,tblCustomers.fldContactNum5,tblCustomers.fldFaxNum1,tblCustomers.fldFaxNum2",,,,,At least one column value should be populated with Entity Type
TCS,Loan and Deposit,MIS004,"MIS004.MI004_MOBILE_NO
MIS004.MI004_PHONE_NO_BUS
MIS004.MI004_CUSVAA_FAX_NO
MIS004.MI004_PHONE_NO_RES","Entity Type
Mobile Phone Number
Office Phone Number
Fax Number
Residential Phone Number",Telephone_Number_Rule_1_TCS,Phone Number,At least 1 phone Num field should be populated,,MIS004,"MIS004.MI004_MOBILE_NO,MIS004.MI004_PHONE_NO_BUS,MIS004.MI004_CUSVAA_FAX_NO,MIS004.MI004_PHONE_NO_RES",,,,,At least one column value should be populated with Entity Type
Tomswin,_,"TMS_Customers
TMS_Accounts","TMS_Customers.MBL_NUM
TMS_Accounts.MBL_NUM
",All Phone Number,Telephone_Number_Rule_1_Tomswin,Phone Number,At least 1 phone Num field should be populated,,"TMS_Customers
",TMS_Customers.MBL_NUM,TMS_Accounts,TMS_Accounts.MBL_NUM,,,At least one column value should be populated with Entity Type
AMS,_,FLACM,"FLACM.FLMBGC
FLACM.FLMPSC
FLACM.FLMCTY","Entity type
Postcode
Country for address",Postcode_Rule_1_AMS,Postcode,"If Ctry cd = MY & LN & Postcd must 5 digits numeric & cannot repeat all with same Num (e.g 11111,22222,33333,44444,55555, 66666, 77777, 88888, 99999)",,FLACM,FLACM.FLMPSC,FLACM,FLACM.FLMCTY,,,Postcode regex and numbers check when another column = some values with Entity Type
CLS,_,"LNA542WF
CFADDR
CFMAST","LNA542WF.INSTOV
CFADDR.CFZIP
CFMAST.CFCITZ","Entity Type
Postcode
Country /Nationality",Postcode_Rule_1_CLS,Postcode,"If Ctry cd = MY & LN & Postcd must 5 digits numeric & cannot repeat all with same Num (e.g 11111,22222,33333,44444,55555, 66666, 77777, 88888, 99999)",,"CFADDR
",CFADDR.CFZIP,CFMAST,CFMAST.CFCITZ,,,Postcode regex and numbers check when another column = some values with Entity Type
CPR,_,"FTDWD602
FTDWM601","FTDWD602.CB_BILL_ADDR_CD
FTDWM601.CB_ALT1_BILL_ADDR_POSTCODE
FTDWM601.CB_ALT2_BILL_ADDR_POSTCODE
FTDWM601.CB_HOME_POSTCODE
FTDWM601.CB_CO_POSTCODE
FTDWM601.CB_ALT1_BILL_CNTRY_CD 
FTDWM601.CB_ALT2_BILL_CNTRY_CD 
FTDWM601.CB_HOME_CNTRY_CD 
FTDWM601.CB_CO_CNTRY_CD","Entity Type
Billing Addr Alt 1 Postcode
Billing Addr Alt 2 Postcode
Resident Addr Postcode
Company Addr Postcode
Billing Addr Alt 1 Country Cd
Billing Addr Alt 2 Country Cd
Resident Addr Country Cd
Company Addr Country Cd",Postcode_Rule_1_CPR_1,Postcode,"If Ctry cd = MY & LN & Postcd must 5 digits numeric & cannot repeat all with same Num (e.g 11111,22222,33333,44444,55555, 66666, 77777, 88888, 99999)","To check FTDWD602.CB_BILL_ADDR_CD first.
If CB_BILL_ADDR_CD = 'H', then FTDWM601.CB_HOME_POSTCODE, FTDWM601.CB_HOME_CNTRY_CD
if CB_BILL_ADDR_CD  = 'C', then FTDWM601.CB_CO_POSTCODE, FTDWM601.CB_CO_CNTRY_CD
if CB_BILL_ADDR_CD  = '1', then FTDWM601.CB_ALT1_BILL_POSTCODE, FTDWM601.CB_ALT1_BILL_CNTRY_CD
if CB_BILL_ADDR_CD  = '2', then FTDWM601.CB_ALT2_BILL_POSTCODE, FTDWM601.CB_ALT2_BILL_CNTRY_CD",FTDWM601,"CB_ALT1_BILL_ADDR_POSTCODE,CB_ALT2_BILL_ADDR_POSTCODE,CB_HOME_POSTCODE,CB_CO_POSTCODE,CB_ALT1_BILL_CNTRY_CD ,CB_ALT2_BILL_CNTRY_CD ,CB_HOME_CNTRY_CD ,CB_CO_CNTRY_CD",,,,,Postcode regex and numbers check when another column = some values with Entity Type
CPR,_,FTDWD613,"FTDWD613.CO_REG_ADD_POSTCODE
FTDWD613.CO_OPR_ADD_POSTCODE
FTDWD613.CO_MAIL_ADD_POSTCODE
FTDWD613.CO_PAR_ADD_POSTCODE
FTDWD613.CO_MAINBK_ADD_POSTCODE FTDWD613.CO_MAIL_CNTRY_CD
FTDWD613.CO_REG_CNTRY_CD
FTDWD613.CO_OPR_CNTRY_CD
FTDWD613.CO_PAR_CNTRY_CD FTDWD613.CO_MAINBK_CNTRY_CD","Entity Type
Mailing Addr Postcode
Registered Addr Postcode
Operation Addr Postcode
Parent Addr Postcode
Main Banker Addr Postcode
Mailing Addr Country Cd
Registered Addr Country Cd
Operation Addr Country Cd
Parent Addr Country Cd
Main Banker Addr Country Cd",Postcode_Rule_1_CPR_2,Postcode,"If Ctry cd = MY & LN & Postcd must 5 digits numeric & cannot repeat all with same Num (e.g 11111,22222,33333,44444,55555, 66666, 77777, 88888, 99999)","FTDWD613.CO_REG_ADD_POSTCODE, FTDWD613.CO_MAIL_CNTRY_CD
FTDWD613.CO_OPR_ADD_POSTCODE, FTDWD613.CO_OPR_ADD_CNTRY_CD
FTDWD613.CO_MAIL_ADD_POSTCODE, FTDWD613.CO_MAIL_ADD_CNTRY_CD
FTDWD613.CO_PAR_ADD_POSTCODE, FTDWD613.CO_PAR_ADD_CNTRY_CD
FTDWD613.CO_MAINBK_ADD_POSTCODE, FTDWD613.CO_MAINBK_ADD_CNTRY_CD",FTDWD613,"CO_REG_ADD_POSTCODE,CO_OPR_ADD_POSTCODE,CO_MAIL_ADD_POSTCODE,CO_PAR_ADD_POSTCODE,CO_MAINBK_ADD_POSTCODE,CO_MAIL_CNTRY_CD,CO_REG_CNTRY_CD,CO_OPR_CNTRY_CD,CO_PAR_CNTRY_CD ,CO_MAINBK_CNTRY_CD",,,,,Postcode regex and numbers check when another column = some values with Entity Type
EAM,_,CLMST,"CLMST.C1TYPE
CLMST.C1PSCD
CLMST.C1NLTY","Entity Type
Postcode
Country /Nationality",Postcode_Rule_1_EAM,Postcode,"If Ctry cd = MY & LN & Postcd must 5 digits numeric & cannot repeat all with same Num (e.g 11111,22222,33333,44444,55555, 66666, 77777, 88888, 99999)",,CLMST,CLMST.C1PSCD,CLMST,CLMST.C1NLTY,,,Postcode regex and numbers check when another column = some values with Entity Type
MAS,_,CLMST,"CLMST.C1TYPE
CLMST.C1PSCD
CLMST.C1NLTY","Entity Type
Postcode
Country /Nationality",Postcode_Rule_1_MAS,Postcode,"If Ctry cd = MY & LN & Postcd must 5 digits numeric & cannot repeat all with same Num (e.g 11111,22222,33333,44444,55555, 66666, 77777, 88888, 99999)",,CLMST,CLMST.C1PSCD,CLMST,CLMST.C1NLTY,,,Postcode regex and numbers check when another column = some values with Entity Type
MRX,_,"TRN_CPDF_DBF
MRX_TRANS_D","TRN_CPDF_DBF.M_POSTCODE
MRX_TRANS_D.POSTCODE
TRN_CPDF_DBF.M_COUNTRY","Entity Type
Postcode
Country /Nationality",Postcode_Rule_1_MRX,Postcode,"If Ctry cd = MY & LN & Postcd must 5 digits numeric & cannot repeat all with same Num (e.g 11111,22222,33333,44444,55555, 66666, 77777, 88888, 99999)",,"TRN_CPDF_DBF
","TRN_CPDF_DBF.M_POSTCODE,TRN_CPDF_DBF.M_COUNTRY",MRX_TRANS_D,MRX_TRANS_D.POSTCODE,,,Postcode regex and numbers check when another column = some values with Entity Type
POR,_,tblCustomers,"tblCustomers.fldEntityType
tblCustomers.fldCorrPostalCode
tblCustomers.fldPermPostalCode
tblCustomers.fldCorrCountry
tblCustomers.fldPermCountry","Entity Type
Correspondence Postcode
Permenant Postcode
Correspondence County
Permenant County",Postcode_Rule_1_POR,Postcode,"If Ctry cd = 138 & 124 & Postcd must 5 digits numeric & cannot repeat all with same Num (e.g. 11111,22222,33333,44444,55555, 66666, 77777, 88888, 99999)",,tblCustomers,"tblCustomers.fldCorrPostalCode,tblCustomers.fldPermPostalCode",tblCustomers,"tblCustomers.fldCorrCountry,tblCustomers.fldPermCountry",,,Postcode regex and numbers check when another column = some values with Entity Type
TCS,Loan and Deposit,MIS004,"MI004_POSTCODE
MI004_CORR_ADD_COUNTRY_CD
MI004_PERM_ADD_COUNTRY_CD","Entity Type
Postcode
Country (Postal)
Country (Permenant)",Postcode_Rule_1_TCS,Postcode,"If Ctry cd = MY & LN & Postcd must 5 digits numeric & cannot repeat all with same Num (e.g 11111,22222,33333,44444,55555, 66666, 77777, 88888, 99999)",,MIS004,"MIS004.MI004_POSTCODE,MIS004.MI004_CORR_ADD_COUNTRY_CD,MIS004.MI004_PERM_ADD_COUNTRY_CD",,,,,Postcode regex and numbers check when another column = some values with Entity Type
Tomswin,_,"TMS_Customers
TMS_Accounts","TMS_Customers.POSTAL_CODE
TMS_Accounts.POSTAL_CODE
TMS_Accounts.ACC_COUNTRY","Postcode
Country",Postcode_Rule_1_Tomswin,Postcode,"If Ctry cd = MY & LN & Postcd must 5 digits numeric & cannot repeat all with same Num (e.g 11111,22222,33333,44444,55555, 66666, 77777, 88888, 99999)",,"TMS_Customers
","TMS_Customers.POSTAL_CODE,TMS_Customers.ACC_COUNTRY",TMS_Accounts,TMS_Accounts.POSTAL_CODE,,,Postcode regex and numbers check when another column = some values with Entity Type
AMS,_,FLACM,"FLACM.FLMBGC
FLACM.FLMPSC
FLACM.FLMSTC","Entity Type
Postcode
State Code",Postcode_Rule_2_AMS,Postcode,<> blank if State cd field have value.,,FLACM,FLACM.FLMPSC,FLACM,FLACM.FLMSTC,,,Cannot be blank if another column has value with Entity Type
CPR,_,"FTDWD602
FTDWM601","FTDWD602.CB_BILL_ADDR_CD
FTDWM601.CB_ALT1_BILL_ADDR_POSTCODE
FTDWM601.CB_ALT2_BILL_ADDR_POSTCODE
FTDWM601.CB_HOME_POSTCODE
FTDWM601.CB_CO_POSTCODE
FTDWM601.CB_ALT1_BILL_STATE
FTDWM601.CB_ALT2_BILL_STATE
FTDWM601.CB_HOME_STATE
FTDWM601.CB_CO_STATE","Entity Type
Billing Addr Alt 1 Postcode
Billing Addr Alt 2 Postcode
Resident Addr Postcode
Company Addr Postcode
Billing Addr Alt 1 State Code
Billing Addr Alt 2 State Code
Resident Addr State Code
Company Addr State Code",Postcode_Rule_2_CPR_1,Postcode,<> blank if State cd field have value.,"To check FTDWD602.CB_BILL_ADDR_CD first.
If CB_BILL_ADDR_CD = 'H', then FTDWM601.CB_HOME_STATE,  FTDWM601.CB_HOME_POSTCODE
if CB_BILL_ADDR_CD  = 'C', then FTDWM601.CB_CO_STATE, FTDWM601.CB_CO_POSTCODE
if CB_BILL_ADDR_CD  = '1', then FTDWM601.CB_ALT1_BILL_STATE, FTDWM601.CB_ALT1_BILL_POSTCODE
if CB_BILL_ADDR_CD  = '2', then FTDWM601.CB_ALT2_BILL_STATE, FTDWM601.CB_ALT2_BILL_POSTCODE",FTDWM601,"FTDWM601.CB_ALT1_BILL_ADDR_POSTCODE,FTDWM601.CB_ALT2_BILL_ADDR_POSTCODE,FTDWM601.CB_HOME_POSTCODE,FTDWM601.CB_CO_POSTCODE",FTDWM601,"FTDWM601.CB_ALT1_BILL_STATE,FTDWM601.CB_ALT2_BILL_STATE,FTDWM601.CB_HOME_STATE,FTDWM601.CB_CO_STATE",,,Cannot be blank if another column has value with Entity Type
CPR,_,FTDWD613,"FTDWD613.CO_REG_ADD_POSTCODE
FTDWD613.CO_OPR_ADD_POSTCODE
FTDWD613.CO_MAIL_ADD_POSTCODE
FTDWD613.CO_PAR_ADD_POSTCODE
FTDWD613.CO_MAINBK_ADD_POSTCODE FTDWD613.CO_MAIL_STATE
FTDWD613.CO_REG_STATE
FTDWD613.CO_MAIL_STATE
FTDWD613.CO_PAR_STATE
FTDWD613.CO_MAINBK_STATE","Entity Type
Mailing Addr Postcode
Registered Addr Postcode
Operation Addr Postcode
Parent Addr Postcode
Main Banker Addr Postcode
Mailing Addr State  Cd
Registered Addr State Cd
Operation Addr State Cd
Parent Addr State Cd
Main Banker Addr State Cd",Postcode_Rule_2_CPR_2,Postcode,<> blank if State cd field have value.,"FTDWD613.CO_REG_POSTCODE, FTDWD613.CO_REG_STATE
FTDWD613.CO_OPR_POSTCODE, FTDWD613.CO_OPR_STATE
FTDWD613.CO_MAIL_POSTCODE, FTDWD613.CO_MAIL_STATE
FTDWD613.CO_PAR_POSTCODE, FTDWD613.CO_PAR_STATE
FTDWD613.CO_MAINBK_POSTCODE, FTDWD613.CO_MAINBK_STATE",FTDWD613,"FTDWD613.CO_REG_ADD_POSTCODE,FTDWD613.CO_OPR_ADD_POSTCODE,FTDWD613.CO_MAIL_ADD_POSTCODE,FTDWD613.CO_PAR_ADD_POSTCODE,FTDWD613.CO_MAINBK_ADD_POSTCODE",FTDWD613,"FTDWD613.CO_MAIL_STATE,FTDWD613.CO_REG_STATE,FTDWD613.CO_MAIL_STATE,FTDWD613.CO_PAR_STATE,FTDWD613.CO_MAINBK_STATE",,,Cannot be blank if another column has value with Entity Type
EAM,_,CLMST,"CLMST.C1TYPE
CLMST.C1PSCD
CLMST.C1FIL1 ","Entity Type
Postcode
State Code",Postcode_Rule_2_EAM,Postcode,<> blank if State cd field have value.,,CLMST,CLMST.C1PSCD,CLMST,CLMST.C1FIL1 ,,,Cannot be blank if another column has value with Entity Type
MAS,_,CLMST,"CLMST.CLPSCD
CLMST.CLFIL1","Entity Type
Postcode
State Code",Postcode_Rule_2_MAS,Postcode,<> blank if State cd field have value.,,CLMST,CLMST.CLPSCD,CLMST,CLMST.CLFIL1,,,Cannot be blank if another column has value with Entity Type
MRX,_,"TRN_CPDF_DBF
MRX_TRANS_D","TRN_CPDF_DBF.M_POSTCODE
TRN_CPDF_DBF.M_STCODE
MRX_TRANS_D.POSTCODE","Entity Type
Postcode
State Code",Postcode_Rule_2_MRX,Postcode,<> blank if State cd field have value.,,"TRN_CPDF_DBF,MRX_TRANS_D","TRN_CPDF_DBF.M_POSTCODE,MRX_TRANS_D.POSTCODE",TRN_CPDF_DBF,TRN_CPDF_DBF.M_STCODE,,,Cannot be blank if another column has value with Entity Type
POR,_,tblCustomers,"tblCustomers.fldEntityType
tblCustomers.fldCorrPostalCode
tblCustomers.fldPermPostalCode
tblCustomers.fldCorrState
tblCustomers.fldPermState","Entity Type
Correspondence Postcode
Permenant Postcode
Correspondence State
Permenant State",Postcode_Rule_2_POR,Postcode,<> blank if State cd field have value.,,tblCustomers,"tblCustomers.fldCorrPostalCode,tblCustomers.fldPermPostalCode",tblCustomers,"tblCustomers.fldCorrState,tblCustomers.fldPermState",,,Cannot be blank if another column has value with Entity Type
TCS,Loan and Deposit,MIS004,"MIS004.MI004_POSTCODE
MIS004.MI004_CUSVAA_STATE_CODE
MIS004.MI004_TEMP_STATE_CODE","Entity Type
Postcode
State Code (Permenant)
State Code (Postal)",Postcode_Rule_2_TCS,Postcode,<> blank if State cd field have value.,,MIS004,MIS004.MI004_POSTCODE,MIS004,"MIS004.MI004_CUSVAA_STATE_CODE,MIS004.MI004_TEMP_STATE_CODE",,,Cannot be blank if another column has value with Entity Type
CPR,_,"FTDWD602
FTDWM601","FTDWD602.CB_BILL_ADDR_CD 
FTDWM601.CB_HOME_STATE
FTDWM601.CB_CO_STATE
FTDWM601.CB_ALT1_BILL_STATE
FTDWM601.CB_ALT2_BILL_STATE
FTDWM601.CB_HOME_POSTCODE
FTDWM601.CB_CO_POSTCODE
FTDWM601.CB_ALT1_BILL_POSTCODE
FTDWM601.CB_ALT2_BILL_POSTCODE","Entity Type
Resident Addr State Code
Company Addr State Code
Mailing Addr State  Cd
Registered Addr State Cd
Operation Addr State Cd
Billing Addr Alt 1 Postcode
Billing Addr Alt 2 Postcode
Resident Addr Postcode
Company Addr Postcode
Mailing Addr Postcode
Registered Addr Postcode
Operation Addr Postcode",State_Cd_Rule_1_CPR_1,State Code,<> blank if Postcd field have value.,"FTDWD602.CB_BILL_ADDR_CD 
If CB_BILL_ADDR_CD = 'H', then FTDWM601.CB_HOME_STATE
If CB_BILL_ADDR_CD = 'C', then FTDWM601.CB_CO_STATE
If CB_BILL_ADDR_CD = '1', then FTDWM601.CB_ALT1_BILL_STATE
If CB_BILL_ADDR_CD = '2', then FTDWM601.CB_ALT2_BILL_STATE",FTDWM601,"FTDWM601.CB_HOME_STATE,FTDWM601.CB_CO_STATE,FTDWM601.CB_ALT1_BILL_STATE,FTDWM601.CB_ALT2_BILL_STATE","FTDWM601,FTDWD602","FTDWD602.CB_BILL_ADDR_CD,FTDWM601.CB_HOME_POSTCODE,FTDWM601.CB_CO_POSTCODE,FTDWM601.CB_ALT1_BILL_POSTCODE,FTDWM601.CB_ALT2_BILL_POSTCODE",,,Cannot be blank if another column has value with Entity Type
CPR,_,FTDWD613,"FTDWD613.CO_REG_STATE
FTDWD613.CO_OPR_STATE
FTDWD613.CO_MAIL_STATE
FTDWD613.CO_PAR_STATE
FTDWD613.CO_MAINBK_STATE
FTDWD613.CO_REG_ADD_POSTCODE
FTDWD613.CO_OPR_ADD_POSTCODE
FTDWD613.CO_MAIL_ADD_POSTCODE
FTDWD613.CO_PAR_ADD_POSTCODE
FTDWD613.CO_MAINBK_ADD_POSTCODE","Entity Type
Resident Addr State Code
Company Addr State Code
Mailing Addr State  Cd
Registered Addr State Cd
Operation Addr State Cd
Billing Addr Alt 1 Postcode
Billing Addr Alt 2 Postcode
Resident Addr Postcode
Company Addr Postcode
Mailing Addr Postcode
Registered Addr Postcode
Operation Addr Postcode",State_Cd_Rule_1_CPR_2,State Code,<> blank if Postcd field have value.,"FTDWD613.CO_REG_STATE
FTDWD613.CO_OPR_STATE
FTDWD613.CO_MAIL_STATE
FTDWD613.CO_PAR_STATE
FTDWD613.CO_MAINBK_STATE",FTDWD613,"FTDWD613.CO_REG_STATE,FTDWD613.CO_OPR_STATE,FTDWD613.CO_MAIL_STATE,FTDWD613.CO_PAR_STATE,FTDWD613.CO_MAINBK_STATE",FTDWD613,"FTDWD613.CO_REG_ADD_POSTCODE,FTDWD613.CO_OPR_ADD_POSTCODE,FTDWD613.CO_MAIL_ADD_POSTCODE,FTDWD613.CO_PAR_ADD_POSTCODE,FTDWD613.CO_MAINBK_ADD_POSTCODE",,,Cannot be blank if another column has value with Entity Type
EAM,_,CLMST,"CLMST.C1TYPE
CLMST.C1FIL1
CLMST.C1PSCD
","Entity Type
State code
Postcode",State_Cd_Rule_1_EAM,State Code,<> blank if Postcd field have value.,,CLMST,CLMST.C1FIL1,CLMST,CLMST.C1PSCD,,,Cannot be blank if another column has value with Entity Type
MAS,_,CLMST,"CLMST.CLPSCD
CLMST.CLFIL1","Entity Type
State code
Postcode",State_Cd_Rule_1_MAS,State Code,<> blank if Postcd field have value.,,CLMST,CLMST.CLFIL1,CLMST,CLMST.CLPSCD,,,Cannot be blank if another column has value with Entity Type
MRX,_,"TRN_CPDF_DBF
MRX_TRANS_D","TRN_CPDF_DBF.M_POSTCODE
TRN_CPDF_DBF.M_STCODE
MRX_TRANS_D.POSTCODE","Entity Type
State code
Postcode",State_Cd_Rule_1_MRX,State Code,<> blank if Postcd field have value.,,TRN_CPDF_DBF,M_STCODE,"TRN_CPDF_DBF,RX_TRANS_D","TRN_CPDF_DBF.M_POSTCODE,MRX_TRANS_D.POSTCODE",,,Cannot be blank if another column has value with Entity Type
TCS,Loan and Deposit,MIS004,"MIS004.MI004_POSTCODE
MIS004.MI004_CUSVAA_STATE_CODE
MIS004.MI004_TEMP_STATE_CODE","Entity Type
Postcode
State Code (Permenant)
State Code (Postal)",State_Cd_Rule_1_TCS,State Code,<> blank if Postcd field have value.,,MIS004,"MIS004.MI004_CUSVAA_STATE_CODE,MIS004.MI004_TEMP_STATE_CODE",MIS004,MIS004.MI004_POSTCODE,,,Cannot be blank if another column has value with Entity Type
Tomswin,_,"TMS_Customers
TMS_Accounts","TMS_Customers.ZONE
TMS_Accounts.POSTAL_CODE
","State code
Postcode",State_Cd_Rule_1_Tomswin,State Code,<> blank if Postcd field have value.,,TMS_Customers,TMS_Customers.ZONE,TMS_Accounts,TMS_Accounts.POSTAL_CODE,,,Cannot be blank if another column has value with Entity Type
POR,_,tblCustomers,"tblCustomers.fldEntityType
tblCustomers.ID","Entity Type
Customer Number",Customer_No_Rule_1_POR,Acount Number,<> blank,,tblCustomers,tblCustomers.ID,,,,,Cannot be blank
CPR,_,FTDWD613,"FTDWD613.CO_ENTITY_TYP
FTDWD613.CO_BNM_ASG_ID","Entity Type
Id number = (BNM Assign ID)",ORGID_Rule_2_CPR,Biz Reg No,"ID type = 0009 (BNM Assigned ID), valid format is 2Numeric, 3Alpha, 7Numeric (2N3A7N)",,FTDWD613,FTDWD613.CO_BNM_ASG_ID,,,,,Regex: alphanumerics if another column = value
MRX,_,TRN_CPDF_DBF,"TRN_CPDF_DBF.M_CUST_TYPE
TRN_CPDF_DBF.M_ID_TYPE
TRN_CPDF_DBF.M_CUST_REG","Entity Type
Id Type (BNM Assign ID)
Id number",ORGID_Rule_2_MRX,Biz Reg No,"ID type = 0009 (BNM Assigned ID), valid format is 2Numeric, 3Alpha, 7Numeric (2N3A7N)",,TRN_CPDF_DBF,TRN_CPDF_DBF.M_ID_TYPE,TRN_CPDF_DBF,TRN_CPDF_DBF.M_CUST_REG,,,Regex: alphanumerics if another column = value
TCS,Loan and Deposit,MIS004,"MI004_CUSTOMER_TYPE
MI004_BNM_ASSIGNED_ID","Entity Type
Id number = BNM Assign ID",ORGID_Rule_2_TCS,Biz Reg No,"ID type = 0009 (BNM Assigned ID), valid format is 2Numeric, 3Alpha, 7Numeric (2N3A7N)",,MIS004,MIS004.MI004_BNM_ASSIGNED_ID,,,,,Regex: alphanumerics if another column = value
AMS,_,FLACM,"FLACM.FLMBGC
FLACM.FLMCDT","Entity Type
CIF Creation Date",CIF_CreationDT_Rule1_AMS,CIF Creation Date,CIF Creation Dt <> BLANK & follow SRC Dt format,,FLACM,FLACM.FLMCDT,,,,,Cannot be blank and follow source date format with Entity Type
EAM,_,CLMST,"CLMST.C1TYPE
CLMST.C1JNDT","Entity Type
CIF Creation Date",CIF_CreationDT_Rule1_EAM,CIF Creation Date,CIF Creation Dt <> BLANK & follow SRC Dt format,,CLMST,CLMST.C1JNDT,,,,,Cannot be blank and follow source date format with Entity Type
MAS,_,CLMST,"FLACM.FLMBGC
CLMST.C1JNDT","Entity Type
CIF Creation Date",CIF_CreationDT_Rule1_MAS,CIF Creation Date,CIF Creation Dt <> BLANK & follow SRC Dt format,,CLMST,CLMST.C1JNDT,,,,,Cannot be blank and follow source date format with Entity Type
CLS,_,"CFCOD2
LNA542WF","CFMAST.CFCOD2
LNA542WF.INORG6","Entity Type
CIF Creation Date",CIF_CreationDT_Rule1_CLS,CIF Creation Date,CIF Creation Dt <> BLANK & follow SRC Dt format,,LNA542WF,LNA542WF.INORG6,,,,,Cannot be blank and follow source date format with Entity Type
CPR,_,FTDWM601,FTDWM601.CB_CREATION_DATE,"Entity Type
CIF Creation Date",CIF_CreationDT_Rule1_CPR,CIF Creation Date,CIF Creation Dt <> BLANK & follow SRC Dt format,,FTDWM601,FTDWM601.CB_CREATION_DATE,,,,,Cannot be blank and follow source date format with Entity Type
MRX,_,TRN_CPDF_DBF,TRN_CPDF_DBF.M_CREATION_DATE,"Entity Type
CIF Creation Date",CIF_CreationDT_Rule1_MRX,CIF Creation Date,CIF Creation Dt <> BLANK & follow SRC Dt format,,TRN_CPDF_DBF,TRN_CPDF_DBF.M_CREATION_DATE,,,,,Cannot be blank and follow source date format with Entity Type
POR,_,tblCustomers,"tblCustomers.fldEntityType
tblCustomers.fldCreateDate","Entity Type
CIF Creation Date",CIF_CreationDT_Rule1_POR,CIF Creation Date,CIF Creation Dt <> BLANK & follow SRC Dt format,,tblCustomers,tblCustomers.fldCreateDate,,,,,Cannot be blank and follow source date format with Entity Type
TCS,Loan and Deposit,MIS004,MIS004.MI004_CREATE_DATE,"Entity Type
CIF Creation Date",CIF_CreationDT_Rule1_TCS,CIF Creation Date,CIF Creation Dt <> BLANK & follow SRC Dt format,,MIS004,MIS004.MI004_CREATE_DATE,,,,,Cannot be blank and follow source date format with Entity Type
Tomswin,_,"TMS_Customers
TMS_Account","TMS_Customers.CUSTOMER_TYPE_CODE
TMS_Accounts.DATE_OPENED","Entity Type
CIF Creation Date",CIF_CreationDT_Rule1_Tomswin,CIF Creation Date,CIF Creation Dt <> BLANK & follow SRC Dt format,,TMS_Account,TMS_Accounts.DATE_OPENED,,,,,Cannot be blank and follow source date format with Entity Type
AMS,_,FLACM,"FLACM.FLMBGC
FLACM.FLMNAM","Entity Type
Name",Name_Rule_1_AMS,Customer Name,Name <> 'BLANK' or min len > 3 char or like 'DUMMY',,FLACM,FLACM.FLMNAM,,,,,Name specific check with length check and unallowed values with Entity Type
CLS,_,CFMAST,"CFMAST.CFCOD2
CFMAST.CFNA1 
CFMAST.CFNA1A","Entity Type
Name Line 1
Name Line 2",Name_Rule_1_CLS,Customer Name,Name <> 'BLANK' or min len > 3 char or like 'DUMMY',,CFMAST,"CFMAST.CFNA1 ,CFMAST.CFNA1A",,,,,Name specific check with length check and unallowed values with Entity Type
CPR,_,FTDWM601,FTDWM601.CB_CARDHOLDER_NAME,"Entity Type
Name",Name_Rule_1_CPR_1,Customer Name,Name <> 'BLANK' or min len > 3 char or like 'DUMMY',,FTDWM601,FTDWM601.CB_CARDHOLDER_NAME,,,,,Name specific check with length check and unallowed values with Entity Type
CPR,_,FTDWD613,FTDWD613.CO_COMPANY_NAME,"Entity Type
Name",Name_Rule_1_CPR_2,Customer Name,Name <> 'BLANK' or min len > 3 char or like 'DUMMY',,FTDWD613,FTDWD613.CO_COMPANY_NAME,,,,,Name specific check with length check and unallowed values with Entity Type
EAM,_,CLMST,"CLMST.C1TYPE
CLMST.C1NM4","Entity Type
Name Line 1
Name Line 2",Name_Rule_1_EAM,Customer Name,Name <> 'BLANK' or min len > 3 char or like 'DUMMY',,CLMST,CLMST.C1NM4,,,,,Name specific check with length check and unallowed values with Entity Type
MAS,_,CLMST,"CLMST.C1NLTY
CLMST.C1NM4","Entity Type
Name Line 1
Name Line 2",Name_Rule_1_MAS,Customer Name,Name <> 'BLANK' or min len > 3 char or like 'DUMMY',,CLMST,CLMST.C1NM4,,,,,Name specific check with length check and unallowed values with Entity Type
MRX,_,TRN_CPDF_DBF,TRN_CPDF_DBF.M_LEGAL_NAME,"Entity Type
Name",Name_Rule_1_MRX,Customer Name,Name <> 'BLANK' or min len > 3 char or like 'DUMMY',,TRN_CPDF_DBF,TRN_CPDF_DBF.M_LEGAL_NAME,,,,,Name specific check with length check and unallowed values with Entity Type
POR,_,tblCustomers,"tblCustomers.fldEntityType
tblCustomers.fldName","Entity Type
Name",Name_Rule_1_POR,Customer Name,Name <> 'BLANK' or min len > 3 char or like 'DUMMY',,tblCustomers,tblCustomers.fldName,,,,,Name specific check with length check and unallowed values with Entity Type
